Size of blocks: 60; Amount of blocks: 1500; Duration for sequential: 332; Duration for thread: 84; Speed up: 3.95238
Size of blocks: 61; Amount of blocks: 1500; Duration for sequential: 341; Duration for thread: 85; Speed up: 4.01176
Size of blocks: 62; Amount of blocks: 1500; Duration for sequential: 334; Duration for thread: 79; Speed up: 4.22785
Size of blocks: 63; Amount of blocks: 1500; Duration for sequential: 331; Duration for thread: 77; Speed up: 4.2987
Size of blocks: 64; Amount of blocks: 1500; Duration for sequential: 333; Duration for thread: 79; Speed up: 4.21519
Size of blocks: 65; Amount of blocks: 1500; Duration for sequential: 332; Duration for thread: 82; Speed up: 4.04878
Size of blocks: 66; Amount of blocks: 1500; Duration for sequential: 339; Duration for thread: 77; Speed up: 4.4026
Size of blocks: 67; Amount of blocks: 1500; Duration for sequential: 334; Duration for thread: 82; Speed up: 4.07317
Size of blocks: 68; Amount of blocks: 1500; Duration for sequential: 342; Duration for thread: 84; Speed up: 4.07143
Size of blocks: 69; Amount of blocks: 1500; Duration for sequential: 337; Duration for thread: 78; Speed up: 4.32051
Size of blocks: 70; Amount of blocks: 1500; Duration for sequential: 341; Duration for thread: 80; Speed up: 4.2625
Size of blocks: 71; Amount of blocks: 1500; Duration for sequential: 335; Duration for thread: 81; Speed up: 4.1358
Size of blocks: 72; Amount of blocks: 1500; Duration for sequential: 334; Duration for thread: 74; Speed up: 4.51351
Size of blocks: 73; Amount of blocks: 1500; Duration for sequential: 348; Duration for thread: 75; Speed up: 4.64
Size of blocks: 74; Amount of blocks: 1500; Duration for sequential: 335; Duration for thread: 75; Speed up: 4.46667
Size of blocks: 75; Amount of blocks: 1200; Duration for sequential: 338; Duration for thread: 95; Speed up: 3.55789
Size of blocks: 76; Amount of blocks: 1200; Duration for sequential: 337; Duration for thread: 74; Speed up: 4.55405
Size of blocks: 77; Amount of blocks: 1200; Duration for sequential: 334; Duration for thread: 77; Speed up: 4.33766
Size of blocks: 78; Amount of blocks: 1200; Duration for sequential: 333; Duration for thread: 77; Speed up: 4.32468
Size of blocks: 79; Amount of blocks: 1200; Duration for sequential: 334; Duration for thread: 74; Speed up: 4.51351
Size of blocks: 80; Amount of blocks: 1200; Duration for sequential: 332; Duration for thread: 80; Speed up: 4.15
Size of blocks: 81; Amount of blocks: 1200; Duration for sequential: 336; Duration for thread: 78; Speed up: 4.30769
Size of blocks: 82; Amount of blocks: 1200; Duration for sequential: 340; Duration for thread: 81; Speed up: 4.19753
